PERMNO,date,TICKER,PRC,VOL
84788,20071102,AMZN,85.98000,10233173
84788,20071105,AMZN,84.37000,7460877
84788,20071106,AMZN,87.27000,7920822
84788,20071107,AMZN,87.04380,8597254
84788,20071108,AMZN,83.58000,11801152
84788,20071109,AMZN,78.89000,11621260
84788,20071112,AMZN,77.00000,9400789
84788,20071113,AMZN,79.86000,9510772
84788,20071114,AMZN,78.51000,8432713
84788,20071115,AMZN,77.85000,7863723
84788,20071116,AMZN,78.60000,7116973
84788,20071119,AMZN,79.18000,8622603
84788,20071120,AMZN,80.39000,10509240
84788,20071121,AMZN,79.76000,6679431
84788,20071123,AMZN,81.43000,2783728
84788,20071126,AMZN,81.30350,8623728
84788,20071127,AMZN,85.59000,8674889
84788,20071128,AMZN,90.30000,11727542
84788,20071129,AMZN,89.15000,6983826
84788,20071130,AMZN,90.56000,7900683
84788,20071203,AMZN,90.91000,5965899
84788,20071204,AMZN,94.41000,7337858
84788,20071205,AMZN,93.19000,6620914
84788,20071206,AMZN,94.21000,5492304
84788,20071207,AMZN,94.31000,3952939
84788,20071210,AMZN,93.02000,4594160
84788,20071211,AMZN,90.75000,10274894
84788,20071212,AMZN,91.28000,7238880
84788,20071213,AMZN,92.40000,6148641
84788,20071214,AMZN,89.08000,6000547
84788,20071217,AMZN,85.09000,7712521
84788,20071218,AMZN,86.89000,7386141
84788,20071219,AMZN,89.38000,7619746
84788,20071220,AMZN,90.58000,5848174
84788,20071221,AMZN,91.26000,6586582
84788,20071224,AMZN,91.01000,2017170
84788,20071226,AMZN,92.85000,5444957
84788,20071227,AMZN,94.25000,7121579
84788,20071228,AMZN,94.45000,7587901
84788,20071231,AMZN,92.64000,5759391
84788,20080102,AMZN,96.25000,13866390
84788,20080103,AMZN,95.21000,9123189
84788,20080104,AMZN,88.79000,10285938
84788,20080107,AMZN,88.82000,10017305
84788,20080108,AMZN,87.88000,12290986
84788,20080109,AMZN,85.22000,16415468
84788,20080110,AMZN,84.26000,11609869
84788,20080111,AMZN,81.08000,10624484
84788,20080114,AMZN,82.87000,9058248
84788,20080115,AMZN,80.24000,9768411
84788,20080116,AMZN,80.35000,12410232
84788,20080117,AMZN,80.12000,9908436
84788,20080118,AMZN,79.76000,13364232
84788,20080122,AMZN,78.48000,12838780
84788,20080123,AMZN,73.97000,20391539
84788,20080124,AMZN,77.67000,9885206
84788,20080125,AMZN,77.60000,10080819
84788,20080128,AMZN,75.82000,8488439
84788,20080129,AMZN,73.95000,9947275
84788,20080130,AMZN,74.21000,25275899
84788,20080131,AMZN,77.70000,43053220
84788,20080201,AMZN,74.63000,16361506
84788,20080204,AMZN,73.95000,9168932
84788,20080205,AMZN,72.09000,9633883
84788,20080206,AMZN,68.49000,12406160
84788,20080207,AMZN,70.91000,14501841
84788,20080208,AMZN,73.50000,11683180
84788,20080211,AMZN,75.19000,7763657
84788,20080212,AMZN,74.45000,9450612
84788,20080213,AMZN,77.73000,11156502
84788,20080214,AMZN,75.80000,7527425
84788,20080215,AMZN,72.96000,11127093
84788,20080219,AMZN,72.08000,7111009
84788,20080220,AMZN,73.64000,6450726
84788,20080221,AMZN,69.90000,12898884
84788,20080222,AMZN,72.08000,12343948
84788,20080225,AMZN,73.27000,7861563
84788,20080226,AMZN,71.69000,10031203
84788,20080227,AMZN,70.87000,8935605
84788,20080228,AMZN,67.85000,13173162
84788,20080229,AMZN,64.47000,11664530
84788,20080303,AMZN,62.43000,13727186
84788,20080304,AMZN,65.34000,16735430
84788,20080305,AMZN,64.99010,11129725
84788,20080306,AMZN,62.74000,8722518
84788,20080307,AMZN,64.09000,10440580
84788,20080310,AMZN,63.47000,9324784
84788,20080311,AMZN,67.15000,9751258
84788,20080312,AMZN,66.51000,7749116
84788,20080313,AMZN,68.32000,10708250
84788,20080314,AMZN,68.22000,12421585
84788,20080317,AMZN,66.53000,9728823
84788,20080318,AMZN,71.70000,9529601
84788,20080319,AMZN,70.17000,11121257
84788,20080320,AMZN,73.19000,11399381
84788,20080324,AMZN,75.95000,9396433
84788,20080325,AMZN,75.17000,6353584
84788,20080326,AMZN,73.80000,6285359
84788,20080327,AMZN,70.80000,7943098
84788,20080328,AMZN,69.76000,5279038
84788,20080331,AMZN,71.30000,5471234
84788,20080401,AMZN,76.70000,9745652
84788,20080402,AMZN,77.37000,8593341
84788,20080403,AMZN,74.94000,8149827
84788,20080404,AMZN,76.87000,7153610
84788,20080407,AMZN,76.90000,6672452
84788,20080408,AMZN,77.30000,4968416
84788,20080409,AMZN,74.39000,6662285
84788,20080410,AMZN,74.83000,6256178
84788,20080411,AMZN,71.99000,6785560
84788,20080414,AMZN,72.61000,4354555
84788,20080415,AMZN,72.50000,6814498
84788,20080416,AMZN,74.59000,6747236
84788,20080417,AMZN,74.04000,6222650
84788,20080418,AMZN,80.10000,16792421
84788,20080421,AMZN,80.18000,9338698
84788,20080422,AMZN,79.60000,7261319
84788,20080423,AMZN,81.00000,19250373
84788,20080424,AMZN,77.69000,21077857
84788,20080425,AMZN,80.86000,9458302
84788,20080428,AMZN,81.97000,10993997
84788,20080429,AMZN,80.74000,6726476
84788,20080430,AMZN,78.63000,7877744
84788,20080501,AMZN,79.36000,7197316
84788,20080502,AMZN,77.31000,8156136
84788,20080505,AMZN,75.92000,5647857
84788,20080506,AMZN,75.71000,6547746
84788,20080507,AMZN,73.18000,8384880
84788,20080508,AMZN,72.79000,8132200
84788,20080509,AMZN,72.41000,4243462
84788,20080512,AMZN,74.53000,7215685
84788,20080513,AMZN,74.56000,5021002
84788,20080514,AMZN,74.20000,4519629
84788,20080515,AMZN,76.12000,6920952
84788,20080516,AMZN,76.46000,6209648
84788,20080519,AMZN,82.29000,18693653
84788,20080520,AMZN,80.72000,7912217
84788,20080521,AMZN,78.30000,7070523
84788,20080522,AMZN,79.26000,5805548
84788,20080523,AMZN,78.35000,6331846
84788,20080527,AMZN,80.62000,10104264
84788,20080528,AMZN,80.08000,6687221
84788,20080529,AMZN,80.35000,6858043
84788,20080530,AMZN,81.62000,5279248
84788,20080602,AMZN,80.23000,6215132
84788,20080603,AMZN,80.11000,6264949
84788,20080604,AMZN,81.50000,6460396
84788,20080605,AMZN,84.51000,8939939
84788,20080606,AMZN,80.63000,7850283
84788,20080609,AMZN,79.43000,6537731
84788,20080610,AMZN,79.62000,6066976
84788,20080611,AMZN,77.28000,5874686
84788,20080612,AMZN,76.15000,6204152
84788,20080613,AMZN,79.17000,5967965
84788,20080616,AMZN,81.70000,5756040
84788,20080617,AMZN,82.97000,8803635
84788,20080618,AMZN,82.52000,6848052
84788,20080619,AMZN,84.26000,6717784
84788,20080620,AMZN,81.10000,6604684
84788,20080623,AMZN,80.68000,7426219
84788,20080624,AMZN,79.64000,7140595
84788,20080625,AMZN,80.51000,7394565
84788,20080626,AMZN,76.30000,11311932
84788,20080627,AMZN,74.66000,11841240
84788,20080630,AMZN,73.33000,7104248
84788,20080701,AMZN,73.62000,10289439
84788,20080702,AMZN,71.44000,7042387
84788,20080703,AMZN,72.00000,4245717
84788,20080707,AMZN,72.49000,7360355
84788,20080708,AMZN,75.04000,7916771
84788,20080709,AMZN,70.61000,6917370
84788,20080710,AMZN,70.63000,9947789
84788,20080711,AMZN,68.54000,7930518
84788,20080714,AMZN,66.28000,9021609
84788,20080715,AMZN,67.03000,11347196
84788,20080716,AMZN,71.84000,12039213
84788,20080717,AMZN,72.11000,9597470
84788,20080718,AMZN,69.12000,8304779
84788,20080721,AMZN,68.48000,6896948
84788,20080722,AMZN,67.97000,8796096
84788,20080723,AMZN,70.54000,17930341
84788,20080724,AMZN,78.72000,31000520
84788,20080725,AMZN,78.31000,9155671
84788,20080728,AMZN,75.98000,10486666
84788,20080729,AMZN,78.21000,6775513
84788,20080730,AMZN,78.21000,7569919
84788,20080731,AMZN,76.34000,5301278
84788,20080801,AMZN,75.75000,4774981
84788,20080804,AMZN,75.71000,4499345
84788,20080805,AMZN,79.11000,7796042
84788,20080806,AMZN,78.09000,6406363
84788,20080807,AMZN,76.95000,5485069
84788,20080808,AMZN,80.51000,9163568
84788,20080811,AMZN,88.09000,25072217
84788,20080812,AMZN,87.25000,8033588
84788,20080813,AMZN,86.69000,7208944
84788,20080814,AMZN,88.03000,6901940
84788,20080815,AMZN,86.40000,6871733
84788,20080818,AMZN,83.11000,6547411
84788,20080819,AMZN,81.29000,6630696
84788,20080820,AMZN,82.13000,5950884
84788,20080821,AMZN,83.26000,6174190
84788,20080822,AMZN,85.26000,4679060
84788,20080825,AMZN,82.85000,4357060
84788,20080826,AMZN,81.76000,4375446
84788,20080827,AMZN,81.73000,5635315
84788,20080828,AMZN,83.42000,7834271
84788,20080829,AMZN,80.81000,4728763
84788,20080902,AMZN,81.41000,6000730
84788,20080903,AMZN,80.77000,5745809
84788,20080904,AMZN,78.03000,8316968
84788,20080905,AMZN,79.19000,8071381
84788,20080908,AMZN,81.16000,9491058
84788,20080909,AMZN,79.04000,5821966
84788,20080910,AMZN,76.74000,9444635
84788,20080911,AMZN,79.51000,7813602
84788,20080912,AMZN,78.30000,6486718
84788,20080915,AMZN,77.34000,8992498
84788,20080916,AMZN,78.73000,13103841
84788,20080917,AMZN,71.54000,13172054
84788,20080918,AMZN,76.50000,12388843
84788,20080919,AMZN,81.00000,14787782
84788,20080922,AMZN,74.93000,7039010
84788,20080923,AMZN,71.76000,8596842
84788,20080924,AMZN,69.96000,9404979
84788,20080925,AMZN,72.08000,6073563
84788,20080926,AMZN,70.70000,6747886
84788,20080929,AMZN,63.35000,12009219
84788,20080930,AMZN,72.76000,13056006
84788,20081001,AMZN,69.58000,9624012
84788,20081002,AMZN,67.36000,8727473
84788,20081003,AMZN,67.00000,11252031
84788,20081006,AMZN,65.23000,13386107
84788,20081007,AMZN,58.52000,12756859
84788,20081008,AMZN,61.02000,14325578
84788,20081009,AMZN,56.00000,13932391
84788,20081010,AMZN,56.25000,18030491
84788,20081013,AMZN,62.02000,11201497
84788,20081014,AMZN,55.86000,17295351
84788,20081015,AMZN,48.72000,16260513
84788,20081016,AMZN,50.29000,22097790
84788,20081017,AMZN,50.65000,12951344
84788,20081020,AMZN,52.97000,8452414
84788,20081021,AMZN,50.23000,8676681
84788,20081022,AMZN,49.99000,19513189
84788,20081023,AMZN,50.32000,32606479
84788,20081024,AMZN,48.96000,19606341
84788,20081027,AMZN,49.58000,11766609
84788,20081028,AMZN,56.04000,14842466
84788,20081029,AMZN,56.89000,15211941
84788,20081030,AMZN,56.71000,11128565
84788,20081031,AMZN,57.24000,8536177
84788,20081103,AMZN,55.77000,7170906
84788,20081104,AMZN,58.45000,7662695
84788,20081105,AMZN,51.98000,11501261
84788,20081106,AMZN,47.22000,15491598
